claim_index,claim,cn_index,cn,kpi
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Emotional Engagement
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Shareability (likeliness to be shared)
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,2,"Russia's invasion of Ukraine is a war of aggression, not a defensive reaction to NATO. Ukraine's pursuit of NATO membership is a consequence, not a cause, of Russia's hostile actions. #FakeNarrative #RussiaIsATerroristState",Persuasiveness
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,2,"Russia's invasion of Ukraine is a war of aggression, not a defensive reaction to NATO. Ukraine's pursuit of NATO membership is a consequence, not a cause, of Russia's hostile actions. #FakeNarrative #RussiaIsATerroristState",Emotional Engagement
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,2,"Russia's invasion of Ukraine is a war of aggression, not a defensive reaction to NATO. Ukraine's pursuit of NATO membership is a consequence, not a cause, of Russia's hostile actions. #FakeNarrative #RussiaIsATerroristState",Shareability (likeliness to be shared)
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,3,NATO poses no threat. Russia's claims are a smokescreen for its desire to rebuild an empire & undermine sovereign states. Ukraine has the right to self-determination. #UkraineWillWin #NATO #RussianWarCrimes,Persuasiveness
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,3,NATO poses no threat. Russia's claims are a smokescreen for its desire to rebuild an empire & undermine sovereign states. Ukraine has the right to self-determination. #UkraineWillWin #NATO #RussianWarCrimes,Emotional Engagement
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,3,NATO poses no threat. Russia's claims are a smokescreen for its desire to rebuild an empire & undermine sovereign states. Ukraine has the right to self-determination. #UkraineWillWin #NATO #RussianWarCrimes,Shareability (likeliness to be shared)
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",1,"Ukraine is a vibrant democracy, not Nazi-controlled. This is a false pretext for an unprovoked war. #StandWithUkraine #UkraineWillWin",Persuasiveness
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",1,"Ukraine is a vibrant democracy, not Nazi-controlled. This is a false pretext for an unprovoked war. #StandWithUkraine #UkraineWillWin",Emotional Engagement
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",1,"Ukraine is a vibrant democracy, not Nazi-controlled. This is a false pretext for an unprovoked war. #StandWithUkraine #UkraineWillWin",Shareability (likeliness to be shared)
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",2,"The ""denazification"" claim is a fabricated excuse for Russia's aggression. Ukrainians are fighting for freedom, not extremism. #UkraineUnderAttack #StopRussianAggression",Persuasiveness
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",2,"The ""denazification"" claim is a fabricated excuse for Russia's aggression. Ukrainians are fighting for freedom, not extremism. #UkraineUnderAttack #StopRussianAggression",Emotional Engagement
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",2,"The ""denazification"" claim is a fabricated excuse for Russia's aggression. Ukrainians are fighting for freedom, not extremism. #UkraineUnderAttack #StopRussianAggression",Shareability (likeliness to be shared)
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",3,No Nazis in Ukraine's leadership—just a sovereign nation defending itself from invasion. Russia's lies won't hide the truth. #UkraineFacts #RussianWarCrimes,Persuasiveness
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",3,No Nazis in Ukraine's leadership—just a sovereign nation defending itself from invasion. Russia's lies won't hide the truth. #UkraineFacts #RussianWarCrimes,Emotional Engagement
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",3,No Nazis in Ukraine's leadership—just a sovereign nation defending itself from invasion. Russia's lies won't hide the truth. #UkraineFacts #RussianWarCrimes,Shareability (likeliness to be shared)
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,1,"Russia's invasion of Ukraine is unprovoked aggression, not defense. It's a war of choice, violating international law and sovereignty, not a reaction to perceived threats. #StandWithUkraine #RussianWarCrimes",Persuasiveness
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,1,"Russia's invasion of Ukraine is unprovoked aggression, not defense. It's a war of choice, violating international law and sovereignty, not a reaction to perceived threats. #StandWithUkraine #RussianWarCrimes",Emotional Engagement
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,1,"Russia's invasion of Ukraine is unprovoked aggression, not defense. It's a war of choice, violating international law and sovereignty, not a reaction to perceived threats. #StandWithUkraine #RussianWarCrimes",Shareability (likeliness to be shared)
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,2,"Russia's claims of defense are a smokescreen for imperial ambitions. Ukraine is a sovereign nation, not a NATO proxy. This war is about conquest, not security. #UkraineWillWin #StopRussianAggression",Persuasiveness
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,2,"Russia's claims of defense are a smokescreen for imperial ambitions. Ukraine is a sovereign nation, not a NATO proxy. This war is about conquest, not security. #UkraineWillWin #StopRussianAggression",Emotional Engagement
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,2,"Russia's claims of defense are a smokescreen for imperial ambitions. Ukraine is a sovereign nation, not a NATO proxy. This war is about conquest, not security. #UkraineWillWin #StopRussianAggression",Shareability (likeliness to be shared)
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,3,"Russia's narrative of defensive action is false. Their invasion of Ukraine is an act of aggression against a peaceful neighbor, driven by expansionism, not self-defense. #FreeUkraine #RussiaIsATerroristState",Persuasiveness
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,3,"Russia's narrative of defensive action is false. Their invasion of Ukraine is an act of aggression against a peaceful neighbor, driven by expansionism, not self-defense. #FreeUkraine #RussiaIsATerroristState",Emotional Engagement
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,3,"Russia's narrative of defensive action is false. Their invasion of Ukraine is an act of aggression against a peaceful neighbor, driven by expansionism, not self-defense. #FreeUkraine #RussiaIsATerroristState",Shareability (likeliness to be shared)
4,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,1,"Ukraine's EuroMaidan Revolution was a popular uprising against corruption & for democracy, not a foreign-sponsored coup. Ukrainians chose their future. #UkraineWillWin #Maidan",Persuasiveness
4,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,1,"Ukraine's EuroMaidan Revolution was a popular uprising against corruption & for democracy, not a foreign-sponsored coup. Ukrainians chose their future. #UkraineWillWin #Maidan",Emotional Engagement
4,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,1,"Ukraine's EuroMaidan Revolution was a popular uprising against corruption & for democracy, not a foreign-sponsored coup. Ukrainians chose their future. #UkraineWillWin #Maidan",Shareability (likeliness to be shared)
4,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,2,"Ukrainians bravely protested for dignity & a European future. Their revolution was an organic assertion of sovereignty, not a foreign plot. #StandWithUkraine #FreeUkraine",Persuasiveness
4,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,2,"Ukrainians bravely protested for dignity & a European future. Their revolution was an organic assertion of sovereignty, not a foreign plot. #StandWithUkraine #FreeUkraine",Emotional Engagement
4,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,2,"Ukrainians bravely protested for dignity & a European future. Their revolution was an organic assertion of sovereignty, not a foreign plot. #StandWithUkraine #FreeUkraine",Shareability (likeliness to be shared)
4,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,3,"The EuroMaidan Revolution was driven by the will of the Ukrainian people for democracy and integration with Europe, countering Russian influence. #UkraineIsSovereign #DemocraticUkraine",Persuasiveness
4,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,3,"The EuroMaidan Revolution was driven by the will of the Ukrainian people for democracy and integration with Europe, countering Russian influence. #UkraineIsSovereign #DemocraticUkraine",Emotional Engagement
4,The US and NATO sponsored a coup in Ukraine to install a pro-Western government.,3,"The EuroMaidan Revolution was driven by the will of the Ukrainian people for democracy and integration with Europe, countering Russian influence. #UkraineIsSovereign #DemocraticUkraine",Shareability (likeliness to be shared)
5,"Russia is winning the war, inflicting heavy losses and liberating Ukrainian territories.",1,"Russia is losing: millions fled, cities lie in ruins, its economy is crippled, and its army is decimated. Ukraine is united, fighting for freedom & winning! #UkraineWillWin #StandWithUkraine",Persuasiveness
