claim_index,claim,cn_index,cn,kpi,evaluator_agent_name,score
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_1_Simulated_Exp,20
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_2_Simulated_Exp,20
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_3_Simulated_Exp,10
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_4_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_5_Simulated_Exp,20
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_6_Simulated_Exp,20
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_7_Simulated_Exp,20
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_8_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_9_Simulated_Exp,20
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_10_Simulated_Exp,10
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_11_Simulated_Exp,0
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_12_Simulated_Exp,20
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_13_Simulated_Exp,85
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_14_Simulated_Exp,20
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_15_Simulated_Exp,20
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_16_Simulated_Exp,20
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,1,"#StopRussianAggression. NATO is a defensive alliance. Russia's imperial ambitions, not NATO, are the true threat to peace in Europe. Ukraine is a sovereign nation and has every right to choose its alliances. #NATO #StandWithUkraine",Persuasiveness,Evaluator_17_Simulated_Exp,20
