claim_number,kpi,agent_type,cn_index,narrative,cn_text,toxicity,insult,threat,offensiveness
1,Persuasiveness,initial,1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"Russia's aggression is a choice, a brutal war against a sovereign nation. Russia's lies about ""threats"" cannot hide the horrors Russia inflicts. Ukraine fights for its freedom, for its future, for us all. Never forget Russia's terror. #UkraineWillPrevail #StopRussianAggression",0.068751685,0.001670412,0.001709113,0.639603853
1,Persuasiveness,initial,2,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"Russia's aggression is a choice, always a choice, never forced. Russia chose to invade, brutally attacking Ukraine. Russia's lies about 'threats' are just excuses for its unprovoked war. Russia is the aggressor, not the victim. Ukraine will triumph! #RussiaIsTheAggressor #UkraineWillWin",0.193120033,0.00398476,0.011164673,0.665967524
1,Persuasiveness,initial,3,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"Russia's invasion of Ukraine is unprovoked, a cruel, heartbreaking war. Russia's claims of NATO 'threats' are empty lies, just excuses for brutal aggression. Russia chose war, Russia chose terror. #StandWithUkraine #RussiaIsATerroristState",0.087472714,0.002174864,0.001706282,0.545890093
1,Persuasiveness,refined,1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"Russia's brutal invasion of Ukraine was never forced. Never! It's unprovoked aggression, a clear violation of international law. Sovereign nations choose NATO; Russia's aggression is pure imperialism. Ukraine will triumph! #RussianAggression #UkraineWillWin",0.260982066,0.004148871,0.012702396,0.667126656
1,Persuasiveness,refined,2,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"NATO is a defensive alliance. Russia's invasion of Ukraine is *not* about NATO's defensive expansion. It's about Russia's imperial ambition, a horrific choice. A horrific choice, violating all treaties! Russia is solely responsible for this terror. #StandWithUkraine",0.039636135,0.000914835,0.000453569,0.575304151
1,Persuasiveness,refined,3,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"Sovereign nations *choose* their alliances. NATO is a defensive alliance, a defensive alliance. Russia's barbaric invasion is a war of conquest, a horrific violation of Ukraine's sovereignty. This aggression, this unprovoked aggression, is solely Russia's crime. #UkraineSovereign #StopRussianAggression",0.013382268,0.000580812,0.000359394,0.678487718
1,Emotional Engagement,initial,1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"NATO's expansion didn't force Russia's war. Russia's war forces families to flee, shattering lives. What if that was your home, your children living in terror? Russia's aggression threatens us all. #StandWithUkraine #StopRussianAggression",0.155457273,0.003564764,0.00304625,0.700281501
1,Emotional Engagement,initial,2,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"NATO is not the threat. Russia's tanks and bombs are. Think of the families torn apart, homes destroyed. If they can invade Ukraine for 'security,' where does it end? Your peace is at stake. #StandWithUkraine #NoToAggression",0.047886148,0.001046888,0.001567701,0.685957372
1,Emotional Engagement,initial,3,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"The true threat isn't NATO, but Russia's unchecked aggression. Picture your life uprooted, your loved ones in danger, by their 'security' claims. If Ukraine falls, who's safe? Stop Russian lies; secure your future. #StandWithUkraine #StopRussianAggression",0.334988356,0.007627549,0.009359957,0.718127012
1,Emotional Engagement,refined,1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,"Russia's 'security' brought bombs that silenced lullabies, homes reduced to rubble where memories once lived. Feel the raw terror of a parent searching for their child in the debris. This dread can become yours. #UkrainePain #NeverForget",0.052498259,0.001415698,0.000763802,0.653580844
