claim_index,claim,kpi,evaluator_agent_name,score
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_1_Simulated_Exp,85
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_2_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_3_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_4_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_5_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_6_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_7_Simulated_Exp,85
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_8_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_9_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_10_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_11_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_12_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_13_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_14_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_15_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_16_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_17_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Persuasiveness,Evaluator_18_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_1_Simulated_Exp,20
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_2_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_3_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_4_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_5_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_6_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_7_Simulated_Exp,85
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_8_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_9_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_10_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_11_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_12_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_13_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_14_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_15_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_16_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_17_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Emotional Engagement,Evaluator_18_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_1_Simulated_Exp,85
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_2_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_3_Simulated_Exp,85
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_4_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_5_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_6_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_7_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_8_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_9_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_10_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_11_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_12_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_13_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_14_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_15_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_16_Simulated_Exp,90
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_17_Simulated_Exp,95
1,NATO's eastward expansion threatened Russia's security and forced military intervention in Ukraine.,Shareability (likeliness to be shared),Evaluator_18_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_1_Simulated_Exp,85
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_2_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_3_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_4_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_5_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_6_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_7_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_8_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_9_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_10_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_11_Simulated_Exp,100
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_12_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_13_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_14_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_15_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_16_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_17_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Persuasiveness,Evaluator_18_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_1_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_2_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_3_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_4_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_5_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_6_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_7_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_8_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_9_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_10_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_11_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_12_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_13_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_14_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_15_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_16_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_17_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Emotional Engagement,Evaluator_18_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_1_Simulated_Exp,85
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_2_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_3_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_4_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_5_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_6_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_7_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_8_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_9_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_10_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_11_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_12_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_13_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_14_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_15_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_16_Simulated_Exp,90
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_17_Simulated_Exp,95
2,"Ukraine's government and military are portrayed as Nazi-controlled, requiring Russian 'denazification'.",Shareability (likeliness to be shared),Evaluator_18_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_1_Simulated_Exp,20
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_2_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_3_Simulated_Exp,80
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_4_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_5_Simulated_Exp,90
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_6_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_7_Simulated_Exp,90
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_8_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_9_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_10_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_11_Simulated_Exp,20
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_12_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_13_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_14_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_15_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_16_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_17_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Persuasiveness,Evaluator_18_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Emotional Engagement,Evaluator_1_Simulated_Exp,20
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Emotional Engagement,Evaluator_2_Simulated_Exp,90
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Emotional Engagement,Evaluator_3_Simulated_Exp,85
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Emotional Engagement,Evaluator_4_Simulated_Exp,95
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Emotional Engagement,Evaluator_5_Simulated_Exp,90
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Emotional Engagement,Evaluator_6_Simulated_Exp,90
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Emotional Engagement,Evaluator_7_Simulated_Exp,85
3,Russia's actions are a defensive response against NATO and Western geopolitical threats.,Emotional Engagement,Evaluator_8_Simulated_Exp,90
