URL,Group,User,Narrative,Tweet_Text,Type,char_len,word_count,is_comment,hashtag_count,mention_count,has_url_in_text,day_of_week,hour_of_day,has_media,media_type,is_quote_tweet,emotion_intensity,claim_specificity,language_assertiveness,implied_urgency,primary_emotion,rhetorical_style,has_cta
https://x.com/AleksanderDroz4/status/1995770324319707213,Control,Statler77,Sanctions Ineffective Against Russia,"@GeromanAT 🤨
“If we have to do the same thing over and over again, then we have failed,” the US Treasury Secretary said casually about his sanctions on China.
https://t.co/xbiUeNZXG5",comment,182,30,1,0,1,1,1,8,False,,True,3.0,3.0,4.0,2.0,outrage,emotional_appeal,False
https://x.com/TheFortuneRpt/status/1995772078117527743,Control,Judy Fortune (Rivers),Ukraine Controlled by Nazis,"@ColonelTowner Russia is our ally in the war with the deep state. Russia is destroying the Ukrainian nazis child sex trafficking ring, adrenochrome distribution, organ harvesting &amp; bioweapon labs. Russia was our ally in WWI  &amp; II. They are a Christian nation. That's why deep state hates Russia.",comment,303,48,1,0,1,0,1,8,False,,False,4.0,3.0,5.0,2.0,outrage,emotional_appeal,False
https://x.com/jokes_on_us_pal/status/1995777092248637769,Control,Jokes On Us Pal 🏴‍☠️🏴,Ukraine Controlled by Nazis,"@HedyFry Sit down you fucking moron!

NATO installed the Nazis that have been bombing the Ukrainian people with impunity for over a decade before Putin stepped in.

You lying criminals are all going to prison when the money laundering in Ukraine is audited. Fucking bitch! 🖕🏽🖕🏽",comment,277,46,1,0,1,0,1,8,False,,False,5.0,2.0,5.0,3.0,outrage,emotional_appeal,False
https://x.com/SurvivalistPt/status/1995776913890062364,Control,Paul Taylor,West Orchestrated Ukraine Coup in 2014,"@McFaul You are partially correct  for a change Michael.  McCain  had a lot of help from  Victoria nuland. 
America  fomented the maidan coup in Kiev in 2014 . This was the final step in weaponising  Ukraine against russia which the cia began in the 1990s.
Just keeping you honest  🙂👍",comment,284,50,1,0,1,0,1,8,False,,False,3.0,4.0,5.0,1.0,outrage,bare_assertion,False
https://x.com/RobertAlmen/status/1995770129926312446,Control,Robert Almén,West Orchestrated Ukraine Coup in 2014,The US have played a significant role in creating this conflict. The coup d’etat in Maidan 2014 was organized by the US and the broken promises to Russia about not expanding NATO was also driven by the US.,post,205,38,0,0,0,0,1,8,False,,True,3.0,3.0,5.0,1.0,anger,bare_assertion,False
https://x.com/Hans_1966/status/1995777262898061569,Control,Hans66,West Orchestrated Ukraine Coup in 2014,@SenTomCotton ...while the US was against Ukraine's sovereignty. A regime change in Ukraine by CIA and MI6 proved that.,comment,119,19,1,0,1,0,1,8,False,,False,4.0,2.0,5.0,1.0,outrage,bare_assertion,False
https://x.com/DavidKe66584564/status/1995751340589666726,Control,DAVE,Russian Military Achieving Successful Operation,@wa94776345 @JayinKyiv I guess we will find out because Russia is in fact winning this war. When missiles like this are not on your front porch in a couple years are you going to reevaluate your critical thinking skills?,comment,220,39,1,0,2,0,1,7,False,,False,4.0,2.0,4.0,3.0,fear,emotional_appeal,False
https://x.com/Larry_D0g/status/1995766365224050974,Control,Lavr Dyogtev 🇳🇿 🇷🇺 ✝️,Russian Military Achieving Successful Operation,"@LucyBennet10 @ChrisO_wiki Ukraine is slowly being munched up. Attacks on Kazak oil facilities, Chinese and Turk merchant shipping isn't going to help. Yet another impregnable fortress city has just fallen. Each deal offered gets worse for Ukraine. They will end up a penniless, disarmed and landlocked.",comment,303,46,1,0,2,0,1,8,False,,False,4.0,2.0,5.0,4.0,fear,emotional_appeal,False
https://x.com/Rob73905582/status/1995770564061913174,Control,Rob,West Spreads Anti-Russian Propaganda,"@DonaldTrumpnq Check my time line. Have stated that that man is a stooge, created by the left, Russia won't comply with their new world order, so he must be silenced or ostracised from society. Hasn't worked. They can even convince us, never mind putin. They turn on trump because he wants peace",comment,295,52,1,0,1,0,1,8,False,,False,4.0,2.0,5.0,3.0,anger,bare_assertion,False
https://x.com/DLMitchell3/status/1995761476892590484,Control,DL Mitchell,NATO Expansion Provoked Russian Invasion,@SenTomCotton We and nato expansion are responsible for this war.,comment,65,10,1,0,1,0,1,7,False,,False,3.0,2.0,5.0,1.0,anger,bare_assertion,False
https://x.com/Hans_1966/status/1995758502153736294,Control,Hans66,Crimea Legitimately Part of Russia,"Russia should and will withdraw from Kharkivs'ka Oblast', the only Ukrainian oblast' that is partly occupied by Russia. There are no other Ukrainian oblasti, occupied by Russia.

Ukraine must leave Russian territory: some Russian oblasti are occupied by Ukraine. Crimea is Russian but is not occupied by Ukraine, nor is it independent (it was for a few days).",comment,359,58,1,0,0,0,1,7,False,,False,1.0,4.0,5.0,2.0,neutral,bare_assertion,False
https://x.com/GeromanAT/status/1995810304979054676,Control,-- GEROMAN -- time will tell - 👀 --,Russia Liberating Ukrainian Territories,"Russian MoD reports:
⚡️
""Units of the ""North"" grouping have liberated the city of Volchansk in the Kharkiv region.

Units of the ""Center"" grouping have completed the liberation of the city of Krasnoarmeysk in the Donetsk People's Republic.

Units of the ""East"" grouping have actively liberated the populated areas of Zelenyi Gai and Dobropolye in the Zaporozhye region""

🇷🇺Russian Ministry of Defense.",post,401,62,0,0,0,0,1,11,True,photo,False,3.0,4.0,5.0,1.0,pride,bare_assertion,False
https://x.com/AShelley73948/status/1995802876552032463,Control,Arthur Shelley,West Prolonging Conflict for Profit,@OccupyDemocrats Mark Kelly is a Soros family puppet and he’s on the Armed Services Committee there terrified Trump is going to end the war in Ukraine and cut the Money Laundering Scheme that flows back into Congress and Washington DC it’s that simple look how wealthy they all have become,comment,289,50,1,0,1,0,1,10,False,,False,4.0,2.0,5.0,3.0,outrage,emotional_appeal,False
https://x.com/Sunnyda04530056/status/1995815332565471526,Control,Sunnyday,West Prolonging Conflict for Profit,"NAZI Zelensky took the audit off the peace deal.  Corrupt Democrats think the death toll of millions of humans is worth tax payer money flowing into their own bank accounts. The left is evil AF and the truth will be exposed in spite of their NAZI propaganda machine, known as the media.",comment,286,52,1,0,0,0,1,11,False,,True,5.0,2.0,5.0,3.0,outrage,emotional_appeal,False
