handle,user_name,description_short,avatar,followers,following,log_followers,log_following,ff_ratio,account_age_days,has_bio,has_location,bio_stance_score,bio_account_type,avatar_type,avatar_national_symbol,xpoz_verified,xpoz_inauthentic_prob,xpoz_inauthentic_type,xpoz_avg_tweets_day
rt_com,RT,"Freedom over censorship, Truth over narrative",https://pbs.twimg.com/profile_images/1922066094182830080/UY-fskwb_normal.jpg,3360556,936,15.027617292009952,6.842683282238422,3586.5058697972254,5929,True,False,2,individual,organization_logo,False,False,,,
marionawfal,Mario Nawfal,"Largest Show on X | Investor 700+ Startups | Founder @ibcgroupio , https://t.co/sw7OQ5KgAW",https://pbs.twimg.com/profile_images/1938244629071015936/UwtzYY-R_normal.jpg,2679145,49877,14.801008644988782,10.817335302759144,53.71396206744456,1839,True,False,1,individual,real_person_photo,False,True,,,
sprintmedianews,Sprinter Press,"Geopolitics,Wars,Daily Events,News – with Raw,Unfiltered Insights||  Support- https://t.co/Knq7FqAwO0",https://pbs.twimg.com/profile_images/1994104587221909505/xMcYCwc-_normal.jpg,759312,538,13.540169356087292,6.289715570908998,1408.7421150278294,2393,True,True,2,journalist_or_media,real_person_photo,False,,,,
clashreport,Clash Report,"Breaking news, reports, and opinions from ongoing clashes of the world. English | Türkçe | عربي",https://pbs.twimg.com/profile_images/1942576646457868288/gOMYVVRf_normal.jpg,653216,2,13.389664665459318,1.0986122886681098,217738.66666666666,3829,True,False,2,journalist_or_media,organization_logo,False,True,0.31155190234602,REAL HUMAN,22.53
sputnikint,Sputnik,Sputnik is a global wire and digital news service. We exist to tell the stories that aren’t being told.,https://pbs.twimg.com/profile_images/1922576605328596992/FwThxpMz_normal.jpg,475770,125,13.072691925014485,4.836281906951478,3775.9523809523807,6040,True,False,2,journalist_or_media,default_or_empty,False,True,,,
jamesbradleyca,James Bradley,🇺🇸 USCG Veteran | The Unconventional Diplomat | Exposing CA's Radical Mess | Fmr Senate Candidate | Join the Fight for Real America,https://pbs.twimg.com/profile_images/1983258488404049920/5rv4jPgZ_normal.jpg,355718,3494,12.781896372309804,8.15908865466791,101.779113018598,2436,True,True,1,political_figure,default_or_empty,False,True,,,
abridgen,Andrew Bridgen,Independent minded.,https://pbs.twimg.com/profile_images/1958515168511426560/ih2PWQj9_normal.jpg,330503,1895,12.708374041075071,7.547501682814967,174.3159282700422,5297,True,True,2,individual,real_person_photo,False,True,,,
alex_oloyede2,Spetsnaℤ 007 🇷🇺,"🆆🅾️🆁🅻🅳 Affiliated Media.

Agent of Influence, trying to change the world.

Freedom of speech.

Citizen of the Russian Federation.

Follow → @TheOtherSideRu",https://pbs.twimg.com/profile_images/1655609438055587843/HJaLi3QF_normal.jpg,312084,1052,12.651030865585135,6.959398512133975,296.37606837606836,1283,True,True,4,journalist_or_media,flag_or_national_symbol,True,True,,,
geromanat,-- GEROMAN -- time will tell - 👀 --,"trying to understand that crazy world - and the universe if there is time left...
If you want to support my work - subscribe or 
https://t.co/IoKyEpWSbF",https://pbs.twimg.com/profile_images/1154480761141174272/rybTvKyo_normal.jpg,309245,3242,12.641892355652086,8.084254106307318,95.3576934936787,3767,True,True,1,individual,default_or_empty,False,True,,,
markus_krall,Dr. Markus Krall,"Manager, Author, Christian. Writing here about the dangerous consequences of our policies.
https://t.co/Mhp2YpcDbw
https://t.co/HpwqijGv2d",https://pbs.twimg.com/profile_images/1767528853822402560/ydu6Xf6R_normal.jpg,287400,445,12.56863373209213,6.100318952020064,644.3946188340807,3159,True,True,3,individual,real_person_photo,False,True,,,
